2.0002e+06,1,1,1,1,1,0,1,1,1,1,1
2.0004e+06,0,1,0,0,0,0,0,1,1,0,0
2.001e+06,1,1,1,1,1,0,1,1,1,1,1
2.0032e+06,1,1,1,1,0,0,1,0,1,1,1
2.0046e+06,0,1,0,0,1,0,1,1,1,1,1
2.0048e+06,1,1,1,1,0,0,1,1,1,0,1
2.0051e+06,0,0,0,0,0,0,0,0,0,0,0
2.0055e+06,1,1,1,1,1,0,1,0,1,1,1
2.0061e+06,1,1,1,1,1,0,1,0,1,1,1
2.0067e+06,1,1,1,1,1,0,1,1,1,1,1
2.0069e+06,1,0,1,0,0,0,0,0,0,1,1
2.0083e+06,1,1,1,1,1,0,1,1,1,1,1
2.0099e+06,1,1,1,1,1,0,1,1,1,1,1
2.0103e+06,1,1,1,0,1,0,0,1,1,0,0
2.0104e+06,0,1,0,0,0,0,0,0,1,0,0
2.011e+06,1,1,1,1,1,0,1,1,1,1,1
2.0114e+06,1,1,1,1,1,0,1,1,1,1,1
2.0117e+06,0,0,0,0,1,0,0,0,0,1,1
2.0124e+06,1,1,1,1,1,0,1,1,1,1,1
2.0127e+06,1,1,1,1,1,0,1,0,1,1,1
2.0127e+06,1,1,1,1,1,0,1,1,1,1,1
2.0131e+06,1,1,1,1,0,0,1,0,1,1,1
2.0142e+06,1,1,1,1,1,0,1,0,1,1,1
2.0143e+06,1,1,1,1,1,0,1,1,1,1,1
2.0148e+06,1,1,1,0,1,0,1,1,1,1,1
2.0149e+06,1,1,0,1,0,0,1,1,1,0,1
2.0154e+06,1,1,0,1,1,0,0,0,1,0,1
2.0156e+06,1,1,0,0,0,0,0,1,1,1,1
2.0158e+06,1,1,1,1,1,0,1,1,1,1,1
2.0166e+06,0,1,1,1,1,0,0,1,1,1,1
2.0167e+06,1,1,1,1,1,0,1,1,1,1,1
2.0168e+06,1,1,1,1,1,0,1,1,1,1,1
2.0175e+06,1,1,1,1,1,0,1,1,1,1,1
2.0179e+06,1,1,1,1,1,0,1,0,1,1,1
2.0182e+06,0,0,0,0,0,0,0,0,0,0,0
